,Location,Yes/Yes/Prefer,Yes/Yes/Not Prefer,Yes/Heard/Prefer,Yes/Heard/Not Prefer,Yes/No/Prefer,Yes/No/Not Prefer,No/Yes/Prefer,No/Yes/Not Prefer,No/Heard/Prefer,No/Heard/Not Prefer,No/No/Prefer,No/No/Not Prefer,Vote Tally,Five Star,Hundred Rating
0,"Beach Boys Historic Landmark, Hawthorne, California",0,0,0,0,1,1,1,0,1,0,1,0,-6.0,1.25,25.0
1,"Indo Restaurant, Palo Alto, California",0,0,1,0,0,0,0,0,1,0,1,1,-3.0,1.429,28.571
2,"Cedar Creek Pizza, Glenville, California",0,0,0,0,1,0,0,0,0,0,1,1,-1.0,2.0,40.0
3,"Griffith Quarry Museum, Roseville, California",0,0,0,0,1,1,0,0,1,0,1,0,-1.0,2.143,42.857
4,"Mo's Egg House, Temecula, California",0,0,1,0,1,0,0,0,0,0,1,1,1.0,2.857,57.143
5,"Aztec Bowl, San Diego, California",1,0,0,0,1,0,0,0,1,0,1,1,2.0,2.917,58.333
6,"ECHO PARK, los angeles, California",2,0,1,0,0,0,1,0,1,0,0,0,5.0,3.158,63.158
7,"Asian Mll, Westminster, California",0,0,1,0,2,1,0,0,0,0,2,0,3.0,3.182,63.636
8,"Benicia State Capitol Historic Park (Previous Capitol of California), Benicia, California",1,0,0,0,2,0,0,0,1,0,1,1,4.0,3.214,64.286
9,"Off Street Cafe, Cerritos, California",1,0,0,0,2,0,0,0,1,0,1,1,4.0,3.214,64.286
10,"Museum of Death, Los Angeles, California",1,0,1,0,1,0,0,0,0,0,2,1,4.0,3.214,64.286
11,"Bijan Bakery, san jose, California",0,0,1,0,1,0,0,0,0,0,0,2,2.0,3.333,66.667
12,"Long Island Mike Pizza, San Diego, California",0,0,0,0,3,0,0,0,1,0,0,1,3.0,3.333,66.667
13,"Griffith Park, Los Angeles, California",3,0,1,0,1,0,1,0,1,0,0,0,12.0,3.654,73.077
14,"Six flags, Fairfield, California",1,0,2,0,0,0,0,0,0,0,1,0,7.0,4.091,81.818
15,"The Living Desert, Palm Desert, California",3,0,0,0,1,0,0,0,1,0,0,1,14.0,4.25,85.0
16,"WILDCAT CANYON REGIONAL PARK, RICHMOND, California",0,0,1,0,6,0,0,0,1,0,0,0,12.0,4.375,87.5
17,"A hidden gem in my local area is Taco Nazo., Los Angeles, California",0,0,1,0,3,0,0,0,0,0,0,1,7.0,4.444,88.889
18,"Linda Falls, Napa, California, California",1,0,3,0,3,0,0,0,0,0,1,0,15.0,4.474,89.474
19,"San Pedro Square, San Jose, California",1,0,2,0,0,1,0,0,0,0,0,1,9.0,4.545,90.909
20,"Point Loma Lighthouse, San Diego, California",3,0,4,0,0,0,0,0,1,0,0,0,21.0,4.6,92.0
21,"Spreckels Organ Pavilion, San Diego, California",2,0,1,0,1,0,0,0,0,0,0,1,13.0,4.667,93.333
22,"Brea Redwood Grove, Yorba Linda, California",1,0,1,0,4,0,0,0,0,0,0,1,14.0,4.688,93.75
23,"Upper Kern River, Johnsondale, California",0,0,2,0,5,0,0,0,0,0,0,0,14.0,5.0,100.0
24,"Tour the city of Leh with local royalty, meet local monks",0,0,0,0,4,0,0,0,0,0,0,0,8.0,5.0,100.0
25,"CA, USA, California",2,0,0,0,0,0,0,0,0,0,0,0,10.0,5.0,100.0
26,"San Bernandino County Museum, Big Bear City, California",2,0,1,0,2,0,0,0,0,0,0,0,16.0,5.0,100.0
27,"Gilroy Gardens, Sunnyvale, California",0,0,1,0,4,0,0,0,0,0,0,0,10.0,5.0,100.0
28,"ECHO PARK, USA, California",1,0,1,0,0,0,0,0,0,0,0,0,7.0,5.0,100.0
29,"Observatory, Los Angelas, California",4,0,1,0,0,0,0,0,0,0,0,0,22.0,5.0,100.0
30,"Filoli, Woodside, California",0,0,0,0,3,0,0,0,0,0,0,0,6.0,5.0,100.0
31,"Mono Lake, California, California",1,0,2,0,2,0,0,0,0,0,0,0,13.0,5.0,100.0
32,"Fraizer Mountain, Los Angeles, California",1,0,1,0,3,1,0,0,0,0,0,0,14.0,5.0,100.0
33,"Fullerton Arboretum, Placentia, California",2,0,2,0,1,0,0,0,0,0,0,0,16.0,5.0,100.0
34,"Lake Balboa/Anthony C. Beilenson Park, Los Angeles, California",2,0,0,0,8,0,0,0,0,0,0,0,26.0,5.0,100.0
35,"Great Park Ballon Ride, Irvine, CA, California",2,0,2,0,1,0,0,0,0,0,0,0,16.0,5.0,100.0
36,"underground tour by sacramento history museum, sacramento, California",1,0,2,0,1,0,0,0,0,0,0,0,11.0,5.0,100.0
