,Location,Yes/Yes/Prefer,Yes/Yes/Not Prefer,Yes/Heard/Prefer,Yes/Heard/Not Prefer,Yes/No/Prefer,Yes/No/Not Prefer,No/Yes/Prefer,No/Yes/Not Prefer,No/Heard/Prefer,No/Heard/Not Prefer,No/No/Prefer,No/No/Not Prefer,Vote Tally
0,"Google Walter Moryan @ Amazon.com, Deltona, Florida",0,0,0,0,0,0,0,0,0,0,0,4,-2.0
1,"Jesse Ball Dupont Park, Jacksonville, Florida",0,0,1,0,1,0,0,0,0,0,2,2,0.0
2,"The English Muffin, Hampstead, Florida",0,0,1,0,1,0,0,0,0,0,1,1,1.5
3,"Moccasin Slough Park, Fleming Island, Florida",0,0,0,0,3,0,0,0,0,0,0,2,2.0
4,"Corkscrew Swamp Sanctuary, Naples, Florida",0,0,2,0,1,0,0,0,0,0,1,2,3.0
5,"The Black Creek Trail, Orange Park, Florida",0,0,0,0,4,0,0,0,0,0,0,1,3.5
6,"Homosassa Springs State Wildlife Park, Homosassa, Florida",0,0,2,0,2,1,0,0,0,3,0,0,3.5
7,"The New Standard, Orlando, Florida",0,0,1,0,4,0,0,0,0,1,0,1,4.5
8,"Harry P. Leu gardens, Orlando, Florida",0,0,2,1,2,0,0,1,0,0,0,0,5.0
9,"Robert K. Rees Memorial Park, New Port Richey, Florida",0,0,1,0,3,0,0,0,0,0,0,0,5.0
10,"Loxahatchees Park, Stuart, Florida",0,0,2,0,2,1,0,0,0,0,1,1,5.0
11,"Audubon Corkscrew Swamp Sanctuary, Bonita Springs, Florida",0,0,2,1,1,0,0,0,0,0,0,1,5.5
12,"Dry Tortugas national park, Miami, Florida",1,0,0,0,3,0,0,0,0,0,0,1,5.5
13,"Sky Wheel, Panama City, Florida",2,0,0,0,2,0,0,0,0,0,1,1,6.5
14,"Mickler Beach, Jacksonville, Florida",2,0,1,0,1,0,0,0,0,1,1,0,7.0
15,"Bern's Steakhouse, Tampa, Florida",1,0,2,0,1,0,0,0,0,0,0,2,7.0
16,"Jennings State Forest, Jacksonville, Florida",1,0,1,0,2,1,0,0,0,0,0,1,7.0
17,"restaurant Oceans 234, Deerfield Beach, Florida",0,0,3,0,3,0,0,0,0,1,0,1,7.5
18,"national park, Winter Park, Florida",2,0,2,0,0,0,0,0,0,1,1,1,7.5
19,"vista view park, Miami, Florida",3,0,0,0,1,0,0,0,0,0,1,2,8.0
20,"Indian Rocks Beach, Largo, Florida",2,0,2,0,0,0,0,0,0,0,0,1,9.5
21,"Museum of Art and Science, Daytona Beach, Florida",3,0,1,0,1,1,0,0,0,1,0,1,11.0
22,"Pass-A-Grille an eclectic part of Americana with roof top dinning overlooking the Gulf of Mexico., St Pete Beach, Florida",0,0,3,0,5,0,0,0,0,0,0,0,11.0
23,"Under The Mango Tree, Miami, Florida",1,1,1,0,4,0,0,0,0,0,0,0,11.0
24,"Pulse Memorial, Orlando, Florida",3,1,2,0,0,0,0,0,1,1,0,0,12.0
25,"Weeki Wachee Springs State Park, Weeki Wachee, Florida",2,1,2,0,2,0,0,0,0,1,0,0,13.0
26,"Busch Garden, Tampa Bay, Florida",5,0,1,0,0,0,0,0,0,1,0,0,16.0
